car,score,content
2026 혼다 CR-V 하이브리드,8.67,"타보니까 최악의 단점이있는대, 휴대폰과 디스플레이 연결이 자주 끊기는현상이있어 가끔 초기화시켜야함 이게 얼마나 큰 단점이냐면 주행중 내비가 꺼져서 초보자들은 길잘못들고 당황해지는 상황이 자주 발생하게된다는 것임"
2026 혼다 CR-V 하이브리드,9.50,+ SUV에서 느껴지는 세단의 주행감. 롤링이 적고 단단한 하체. 시승하자마자 계획에도 없던 큰 차를 사게된 이유들. 무엇보다 디자인이 어느 차들보다도 마음에 들고 세련됐음. 내외부의 벌집모양 그릴과 아날로그 버튼들이 상남자스럽다고 느껴짐. - 음성인식이 구려서 구글 불러서 쓰고있긴 하나 차 기능통제가 안되는게 아쉬움. (내가 모르는걸지도) 우리나라 선호옵션인 통풍시트의 부재를 고려했을 때 가격경쟁력이 조금만 더 있었다면 우리나라 주력 차로 손색이 없었을 것..
2026 혼다 CR-V 하이브리드,10.00,디자인 연비 주행질감 정말좋아요 직접 타봐아 알수있어요 실연비가 훨씬 높아요
2026 혼다 CR-V 하이브리드,10.00,"싼타페, 라브4, glc 시승 후 주행성능, 승차감 등 모든 점에서 crvr가 마음에 들어 구매함. 다만 고속 주행시 풍절음, 노면소음은 아쉬움."
2026 혼다 CR-V 하이브리드,9.67,Everything is good! 디자인 정숙성 모두 만족합니다. 다음 차량은 어코드
2026 혼다 CR-V 하이브리드,9.33,평균연비18-22 만족 장점은 크지않아도 단점은 없는 그런 차량..고장도없고
2026 혼다 CR-V 하이브리드,9.17,"1. 주행성능 : 아주 만족함, 가솓고 잘 붙음. 다만 약간의 풍절음은 존재함 2. 디자인 : 아주 만족, 특히 흰색이 이쁩니다. 3. 연비 : 연비는 개인별로 다르겠지만 복합 10.8 정도 나오네요"
2026 혼다 CR-V 하이브리드,9.50,오너만이 알수있어서 좋습니다 꼭 시승해보시길 권장합니다. 편리성은 다소 떨어지니 차체만으로 꼭 평가하시길
2026 혼다 CR-V 하이브리드,9.67,아주 많이 안족 하고 주행 연비 모두만족 합니다 기술의 혼다 인것 같습니다
2026 혼다 CR-V 하이브리드,9.33,"장점 : 일본차(인 척 하는 미국차) 단점 : 일본차(인 척하는 미국차) 다른 차들이 인테리어, 편의기능 옵션에 투자할 때 차의 기본기에 투자를 많이 한 차 전기차와 유사한 주행감"
2026 혼다 CR-V 하이브리드,8.83,ㅌㄴㄷㄴㅅㄷㅎㅈㅅㄴㅅㅇㅈㅎㄷㅅㅈㅎㅊㅆㄷㅅㄴㅈㅅㅈㄷㄴㅅㄷㅎㄷㅅㄷㅎㄷㅅㅈㅅㄴㅅㅊ
2026 혼다 CR-V 하이브리드,9.67,차체의 강성 안전성 내구성 연비 승차감 모든게 좋아요 통풍시트가 없는데 이건 튜닝샵에서 튜닝 하려고 합니다
